Date,Player_1,Player_2,Winner,Odd_1,Odd_2,predicted_player_1_wins,player_1_win_probability,predicted_winner,confidence,correct,bet_amount,profit,cumulative_profit,smart_bet_amount,smart_profit,smart_cumulative_profit
2024-12-29,Vukic A.,Goffin D.,Vukic A.,2.0,1.8,0,0.40903914,Goffin D.,0.59096086,False,1,-1.0,-1.0,0,0.0,0.0
2024-12-29,Goffin D.,Vukic A.,Vukic A.,1.8,2.0,1,0.5959749,Goffin D.,0.5959749,False,1,-1.0,-2.0,0,0.0,0.0
2024-12-30,Lehecka J.,Rune H.,Lehecka J.,2.5,1.53,0,0.21465905,Rune H.,0.78534096,False,1,-1.0,-3.0,1,-1.0,-1.0
2024-12-30,Kecmanovic M.,Darderi L.,Kecmanovic M.,1.3,3.5,0,0.43658242,Darderi L.,0.56341755,False,1,-1.0,-4.0,0,0.0,-1.0
2024-12-30,Safiullin R.,Marozsan F.,Marozsan F.,1.5,2.63,0,0.48202035,Marozsan F.,0.5179796,True,1,1.63,-2.37,0,0.0,-1.0
2024-12-30,Tien L.,Norrie C.,Norrie C.,2.2,1.67,0,0.31239843,Norrie C.,0.68760157,True,1,0.6699999999999999,-1.7000000000000002,1,0.6699999999999999,-0.33000000000000007
2024-12-30,Berrettini M.,Thompson J.,Thompson J.,1.5,2.63,0,0.41447812,Thompson J.,0.5855219,True,1,1.63,-0.07000000000000028,0,0.0,-0.33000000000000007
2024-12-30,Jarry N.,Navone M.,Jarry N.,1.36,3.2,1,0.6313726,Jarry N.,0.6313726,True,1,0.3600000000000001,0.2899999999999998,0,0.0,-0.33000000000000007
2024-12-30,Michelsen A.,O Connell C.,Michelsen A.,1.44,2.75,1,0.60365784,Michelsen A.,0.60365784,True,1,0.43999999999999995,0.7299999999999998,0,0.0,-0.33000000000000007
2024-12-30,Tabilo A.,Bonzi B.,Bonzi B.,2.2,1.67,1,0.735457,Tabilo A.,0.735457,False,1,-1.0,-0.27000000000000024,1,-1.0,-1.33
2024-12-30,Nishioka Y.,Rinderknech A.,Nishioka Y.,1.53,2.5,0,0.40076876,Rinderknech A.,0.59923124,False,1,-1.0,-1.2700000000000002,0,0.0,-1.33
2024-12-30,Hanfmann Y.,Dimitrov G.,Dimitrov G.,5.5,1.14,0,0.13600041,Dimitrov G.,0.8639996,True,1,0.1399999999999999,-1.1300000000000003,1,0.1399999999999999,-1.1900000000000002
2024-12-30,Sonego L.,Nakashima B.,Sonego L.,2.38,1.57,0,0.41110182,Nakashima B.,0.5888982,False,1,-1.0,-2.1300000000000003,0,0.0,-1.1900000000000002
2024-12-30,Thompson J.,Berrettini M.,Thompson J.,2.63,1.5,1,0.6764781,Thompson J.,0.6764781,True,1,1.63,-0.5000000000000004,1,1.63,0.4399999999999997
2024-12-30,Darderi L.,Kecmanovic M.,Kecmanovic M.,3.5,1.3,1,0.62077105,Darderi L.,0.62077105,False,1,-1.0,-1.5000000000000004,0,0.0,0.4399999999999997
2024-12-30,Rune H.,Lehecka J.,Lehecka J.,1.53,2.5,1,0.82832277,Rune H.,0.82832277,False,1,-1.0,-2.5000000000000004,1,-1.0,-0.5600000000000003
2024-12-30,Dimitrov G.,Hanfmann Y.,Dimitrov G.,1.14,5.5,1,0.87122875,Dimitrov G.,0.87122875,True,1,0.1399999999999999,-2.3600000000000003,1,0.1399999999999999,-0.4200000000000004
2024-12-30,Nakashima B.,Sonego L.,Sonego L.,1.57,2.38,1,0.6220226,Nakashima B.,0.6220226,False,1,-1.0,-3.3600000000000003,0,0.0,-0.4200000000000004
2024-12-30,Navone M.,Jarry N.,Jarry N.,3.2,1.36,0,0.41739592,Jarry N.,0.58260405,True,1,0.3600000000000001,-3.0,0,0.0,-0.4200000000000004
2024-12-30,O Connell C.,Michelsen A.,Michelsen A.,2.75,1.44,0,0.40336493,Michelsen A.,0.5966351,True,1,0.43999999999999995,-2.56,0,0.0,-0.4200000000000004
2024-12-30,Rinderknech A.,Nishioka Y.,Nishioka Y.,2.5,1.53,1,0.60394114,Rinderknech A.,0.60394114,False,1,-1.0,-3.56,0,0.0,-0.4200000000000004
2024-12-30,Bonzi B.,Tabilo A.,Bonzi B.,1.67,2.2,0,0.22577804,Tabilo A.,0.77422196,False,1,-1.0,-4.5600000000000005,1,-1.0,-1.4200000000000004
2024-12-30,Marozsan F.,Safiullin R.,Marozsan F.,2.63,1.5,0,0.492191,Safiullin R.,0.50780904,False,1,-1.0,-5.5600000000000005,0,0.0,-1.4200000000000004
2024-12-30,Norrie C.,Tien L.,Norrie C.,1.67,2.2,1,0.676475,Norrie C.,0.676475,True,1,0.6699999999999999,-4.890000000000001,1,0.6699999999999999,-0.7500000000000004
2024-12-31,Martinez P.,Passaro F.,Martinez P.,1.8,2.0,1,0.6903043,Martinez P.,0.6903043,True,1,0.8,-4.090000000000001,1,0.8,0.0499999999999996
2024-12-31,Shang J.,Wong C.,Shang J.,1.3,3.5,1,0.71788853,Shang J.,0.71788853,True,1,0.30000000000000004,-3.790000000000001,1,0.30000000000000004,0.34999999999999964
2024-12-31,Diallo G.,Carballes Baena R.,Diallo G.,1.4,3.0,0,0.37852994,Carballes Baena R.,0.6214701,False,1,-1.0,-4.790000000000001,0,0.0,0.34999999999999964
2024-12-31,Wong C.,Shang J.,Shang J.,3.5,1.3,0,0.29229337,Shang J.,0.70770663,True,1,0.30000000000000004,-4.490000000000001,1,0.30000000000000004,0.6499999999999997
2024-12-31,Borges N.,Bu Y.,Borges N.,2.0,1.8,1,0.6753877,Borges N.,0.6753877,True,1,1.0,-3.490000000000001,1,1.0,1.6499999999999997
2024-12-31,Bergs Z.,Moro Canas A.,Bergs Z.,1.44,2.75,1,0.6641641,Bergs Z.,0.6641641,True,1,0.43999999999999995,-3.050000000000001,1,0.43999999999999995,2.09
2024-12-31,Huesler M.A.,Muller A.,Muller A.,1.67,2.2,0,0.33189037,Muller A.,0.66810966,True,1,1.2000000000000002,-1.850000000000001,1,1.2000000000000002,3.29
2024-12-31,Arnaldi M.,Popyrin A.,Arnaldi M.,2.5,1.53,0,0.32134345,Popyrin A.,0.6786566,False,1,-1.0,-2.850000000000001,1,-1.0,2.29
2024-12-31,Walton A.,Tiafoe F.,Tiafoe F.,4.33,1.22,0,0.20805848,Tiafoe F.,0.7919415,True,1,0.21999999999999997,-2.630000000000001,1,0.21999999999999997,2.51
2024-12-31,Hijikata R.,Djokovic N.,Djokovic N.,13.0,1.04,0,0.10128275,Djokovic N.,0.8987172,True,1,0.040000000000000036,-2.5900000000000007,1,0.040000000000000036,2.55
2024-12-31,Monfils G.,Basavareddy N.,Monfils G.,1.62,2.3,1,0.6512138,Monfils G.,0.6512138,True,1,0.6200000000000001,-1.9700000000000006,1,0.6200000000000001,3.17
2024-12-31,Cazaux A.,Lajovic D.,Lajovic D.,3.7,1.27,1,0.6028335,Cazaux A.,0.6028335,False,1,-1.0,-2.9700000000000006,0,0.0,3.17
2024-12-31,Mensik J.,Kukushkin M.,Mensik J.,1.29,3.75,1,0.6459073,Mensik J.,0.6459073,True,1,0.29000000000000004,-2.6800000000000006,0,0.0,3.17
2024-12-31,Davidovich Fokina A.,Munar J.,Munar J.,1.36,3.2,0,0.491121,Munar J.,0.508879,True,1,2.2,-0.4800000000000004,0,0.0,3.17
2024-12-31,Shapovalov D.,Nishikori K.,Nishikori K.,1.53,2.5,1,0.6558238,Shapovalov D.,0.6558238,False,1,-1.0,-1.4800000000000004,1,-1.0,2.17
2024-12-31,Carballes Baena R.,Diallo G.,Diallo G.,3.0,1.4,1,0.6558238,Carballes Baena R.,0.6558238,False,1,-1.0,-2.4800000000000004,1,-1.0,1.17
2024-12-31,Muller A.,Huesler M.A.,Muller A.,2.2,1.67,1,0.67041224,Muller A.,0.67041224,True,1,1.2000000000000002,-1.2800000000000002,1,1.2000000000000002,2.37
2024-12-31,Nishikori K.,Shapovalov D.,Nishikori K.,2.5,1.53,0,0.37122962,Shapovalov D.,0.62877035,False,1,-1.0,-2.2800000000000002,0,0.0,2.37
2024-12-31,Passaro F.,Martinez P.,Martinez P.,2.0,1.8,0,0.34223342,Martinez P.,0.6577666,True,1,0.8,-1.4800000000000002,1,0.8,3.17
2024-12-31,Munar J.,Davidovich Fokina A.,Munar J.,3.2,1.36,1,0.5247211,Munar J.,0.5247211,True,1,2.2,0.72,0,0.0,3.17
2024-12-31,Bu Y.,Borges N.,Borges N.,1.8,2.0,0,0.39378455,Borges N.,0.6062155,True,1,1.0,1.72,0,0.0,3.17
2024-12-31,Moro Canas A.,Bergs Z.,Bergs Z.,2.75,1.44,0,0.38742435,Bergs Z.,0.61257565,True,1,0.43999999999999995,2.16,0,0.0,3.17
2024-12-31,Opelka R.,Gomez F.,Opelka R.,1.5,2.63,0,0.31286058,Gomez F.,0.6871394,False,1,-1.0,1.1600000000000001,1,-1.0,2.17
2024-12-31,Tiafoe F.,Walton A.,Tiafoe F.,1.22,4.33,1,0.8100281,Tiafoe F.,0.8100281,True,1,0.21999999999999997,1.3800000000000001,1,0.21999999999999997,2.3899999999999997
2024-12-31,Kukushkin M.,Mensik J.,Mensik J.,3.75,1.29,0,0.35128638,Mensik J.,0.6487136,True,1,0.29000000000000004,1.6700000000000002,0,0.0,2.3899999999999997
2024-12-31,Lajovic D.,Cazaux A.,Lajovic D.,1.27,3.7,0,0.37782705,Cazaux A.,0.62217295,False,1,-1.0,0.6700000000000002,0,0.0,2.3899999999999997
2024-12-31,Basavareddy N.,Monfils G.,Monfils G.,2.3,1.62,0,0.34542775,Monfils G.,0.65457225,True,1,0.6200000000000001,1.2900000000000003,1,0.6200000000000001,3.01
2024-12-31,Djokovic N.,Hijikata R.,Djokovic N.,1.04,13.0,1,0.8482085,Djokovic N.,0.8482085,True,1,0.040000000000000036,1.3300000000000003,1,0.040000000000000036,3.05
2024-12-31,Popyrin A.,Arnaldi M.,Arnaldi M.,1.53,2.5,1,0.71163255,Popyrin A.,0.71163255,False,1,-1.0,0.3300000000000003,1,-1.0,2.05
2024-12-31,Gomez F.,Opelka R.,Opelka R.,2.63,1.5,1,0.69238096,Gomez F.,0.69238096,False,1,-1.0,-0.6699999999999997,1,-1.0,1.0499999999999998
2025-01-01,Fils A.,Bergs Z.,Fils A.,1.44,2.75,1,0.7161029,Fils A.,0.7161029,True,1,0.43999999999999995,-0.22999999999999976,1,0.43999999999999995,1.4899999999999998
2025-01-01,Nishioka Y.,Lehecka J.,Lehecka J.,3.2,1.36,0,0.2855241,Lehecka J.,0.71447587,True,1,0.3600000000000001,0.13000000000000034,1,0.3600000000000001,1.8499999999999999
2025-01-01,Jarry N.,Bonzi B.,Jarry N.,2.63,1.5,0,0.4955414,Bonzi B.,0.5044586,False,1,-1.0,-0.8699999999999997,0,0.0,1.8499999999999999
2025-01-01,Norrie C.,Sonego L.,Norrie C.,1.57,2.38,0,0.35081598,Sonego L.,0.649184,False,1,-1.0,-1.8699999999999997,0,0.0,1.8499999999999999
2025-01-01,Vukic A.,Dimitrov G.,Dimitrov G.,4.5,1.2,0,0.36707076,Dimitrov G.,0.6329292,True,1,0.19999999999999996,-1.6699999999999997,0,0.0,1.8499999999999999
2025-01-01,Nishikori K.,Khachanov K.,Nishikori K.,2.2,1.67,0,0.27336845,Khachanov K.,0.7266315,False,1,-1.0,-2.67,1,-1.0,0.8499999999999999
2025-01-01,Lehecka J.,Nishioka Y.,Lehecka J.,1.36,3.2,1,0.6048257,Lehecka J.,0.6048257,True,1,0.3600000000000001,-2.3099999999999996,0,0.0,0.8499999999999999
2025-01-01,Bonzi B.,Jarry N.,Jarry N.,1.5,2.63,0,0.28744513,Jarry N.,0.7125549,True,1,1.63,-0.6799999999999997,1,1.63,2.4799999999999995
2025-01-01,Muller A.,Kecmanovic M.,Muller A.,3.0,1.4,0,0.31351107,Kecmanovic M.,0.6864889,False,1,-1.0,-1.6799999999999997,1,-1.0,1.4799999999999995
2025-01-01,Michelsen A.,Thompson J.,Thompson J.,2.2,1.67,0,0.40146554,Thompson J.,0.59853446,True,1,0.6699999999999999,-1.0099999999999998,0,0.0,1.4799999999999995
2025-01-01,Kecmanovic M.,Muller A.,Muller A.,1.4,3.0,0,0.46927354,Muller A.,0.53072643,True,1,2.0,0.9900000000000002,0,0.0,1.4799999999999995
